execucao,variante,token,N,condicao,posicao,k,etapa,ordem,direcao,funcao,seletor,operacao_governada,gas,status,motivo_reversao,tx_hash
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B3,,,delegate,,,,0x5c19a95c,,48347,1,,0x51b798b2aeeb5bcf9df91de4da1ff32df5ed17ec43f82e50fd404e8ba0ba9091
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B3,,,delegate,,,,0x5c19a95c,,48347,1,,0x21a856c15355dfe4417f0b1bcece096d10e8a888f4639b4a0d7415fd3cfe2dbe
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B3,,,delegate,,,,0x5c19a95c,,48347,1,,0x3221062e3884f3c80d8e2a9f5746fd616ba9f2dbf05e6dd0155213122948aff9
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B3,,,transfer,,,,0xa9059cbb,,135960,1,,0x28308c13d760045e8109e58cd2cf4289c3b6380cbd426705549c1058cb6582e2
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B3,,,transfer,,,,0xa9059cbb,,135960,1,,0x2c048335195f7920488e584ae624eb6438c5f83a21ad3726ae0fcd2f586ee538
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B3,,,transfer,,,,0xa9059cbb,,135960,1,,0x0fac43d13755b20f4591f0f44829044ccfca06f04e1f9ea205fbb1e6079249dc
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B3,,,transfer,,,,0xa9059cbb,,135972,1,,0x7b9a5fdfef1326efdc792dd6ff89aa16fdf026d061504826aaf49e00ebb115a1
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B3,,,propose,,,propose,0x7d5e81e2,WasteCategoryRegistry.updateCredits,63790,1,,0xd64ed8f3d1b5fa2e080f8957e23ede9d6e4c968dfdf1a613ac7c34af4ba01901
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B3,,,vote,1,for,castVote,0x56781388,WasteCategoryRegistry.updateCredits,81887,1,,0x128f6c23373e1a239a0c3994b3beeb93ceb21672cb22f195aad67cbc211e428d
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B3,,,vote,2,for,castVote,0x56781388,WasteCategoryRegistry.updateCredits,64787,1,,0xf135ee34fcb76464ba01010f3f894ce5a18508ce9701af7faa23c873efa8ec23
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B3,,,vote,3,for,castVote,0x56781388,WasteCategoryRegistry.updateCredits,64787,1,,0x2b316eb6e584c938084a22b380fe6558fd8c965da7ef56748a3d3efa3f2312f0
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B3,,,vote,1,against,castVote,0x56781388,WasteCategoryRegistry.updateCredits,81835,1,,0xbf6e8530bc39338d43a6b764b1f61831d7988f2efa6cb4c56b737e8532790953
2026-09-23T22-00-43-844Z_b1-b4,V0,T1,,,,,deploy_token_T1,,,constructor,0x61016060,,1621017,1,,0x8a423d158719dafa7ff4b82bcd6f6a5661f61c993e6aaede0acbe21a849af082
2026-09-23T22-00-43-844Z_b1-b4,V0,,,,,,deploy_registry,,,constructor,0x60806040,,4590964,1,,0x9005486642112873086c0faf3a06ce7199e3377186a80eb6eea4235f5e1c6f56
2026-09-23T22-00-43-844Z_b1-b4,V0,,,,,,deploy_governor_V0,,,constructor,0x6101c080,,2133394,1,,0xf15d79595721aab9f7f3ac0a2a1e63b67929396c1b2cc0d9de1364b502afb839
2026-09-23T22-00-43-844Z_b1-b4,V0,,,,,,grant_admin_role,,,grantRole,0x2f2ff15d,,50799,1,,0xb518a3911be32f0a59dcaec3e43c7ec54010f07f3e473d550516b1aab1a18d6b
