execucao,variante,token,N,condicao,posicao,k,etapa,ordem,direcao,funcao,seletor,operacao_governada,gas,status,motivo_reversao,tx_hash
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,1,A-unanime,,,delegate_admin,,,,0x5c19a95c,,95559,1,,0xe4ed125ff7fcf34a784094393e69d7b32184f90f45a88cf0e398ac5fe2329d50
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,1,A-unanime,,,delegate,,,,0x5c19a95c,,48347,1,,0x8e5cf2e817455991c3f88244f29b95e3c5703efb253d16587c3e019ace8ed4aa
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,1,A-unanime,,,transfer,,,,0xa9059cbb,,135960,1,,0xe10ecb97b42138babe52528965ac198018a24ad44870bac43f92d1b923260048
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,1,A-unanime,,,propose,,,propose,0x7d5e81e2,WasteCategoryRegistry.updateCredits,63778,1,,0x576b93c43255cf76636f99efbb6e1b79098288927d9bbe2d9fb562c13cc5622c
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,1,A-unanime,,,vote,1,for,,0x56781388,,82468,1,,0x125b93be8cb0b7084d1d8c4bf2d0c1a9fe4f8bb8712ccf9f07c56392a7b8c8a2
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,1,A-unanime,,,execute,,,execute,0x2656227d,WasteCategoryRegistry.updateCredits,60847,1,,0x68f72c97a906fbfd5c572fb52e4dbc3f97c050be4d71604ea14596b32627900a
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,T1,,,,,deploy_token_T1,,,constructor,0x61016060,,1621017,1,,0x8a423d158719dafa7ff4b82bcd6f6a5661f61c993e6aaede0acbe21a849af082
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,deploy_registry,,,constructor,0x60806040,,4590964,1,,0x9005486642112873086c0faf3a06ce7199e3377186a80eb6eea4235f5e1c6f56
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,deploy_rewards_registry_for_ctor,,,constructor,0x60806040,,4590964,1,,0x484f4210d177094deb4832deb5e459c708c732becb1881e1d1417503c177d84a
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,deploy_credit,,,constructor,0x60806040,,931954,1,,0xda6265176213799bfac2d03545eb38f6f6d6d978852db5e040dec6bdc95b6a46
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,deploy_passport,,,constructor,0x60806040,,2776581,1,,0xe5a36162780b85ac2b217350036da2286056186a02d74234dd0980865a07c217
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,deploy_rewards,,,constructor,0x60803461,,1246140,1,,0x748f3eef423a29001e508633e407c909b25f0e6a89b560856468f0ac6655c439
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,deploy_stakeholders,,,constructor,0x60803461,,1679823,1,,0xd4be2e468d589ae7e76ff2c292757707613e73c2a9e8f4c774280b5fd0991072
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,deploy_governor_Ref,,,constructor,0x61018060,,4434623,1,,0xd1b6a3d1f944bdfe5c399ebf7a1e6ed8a76e5b5acd93cdfc3d211571cbc50a6e
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,grant_admin_role,,,grantRole,0x2f2ff15d,,50799,1,,0x9477ec21ceecb8e71e570a8e5c711d060981c6dc53217d4071b2c7d012604374
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,revoke_deployer_admin_role,,,revokeRole,0xd547741f,,27116,1,,0x4571f6b2b82c72e95dbfd028346a3c95cee362f1cdc4e946338a9d1e56d58c09
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,1,A-unanime,,,delegate_admin,,,,0x5c19a95c,,95559,1,,0xfca7f8e34a7a367a38495092e6c6ae53f6f6bbc6c6cdd047fed83c770b76a8c9
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,1,A-unanime,,,delegate,,,,0x5c19a95c,,48347,1,,0x2f1db724527155bbb87015320f4de9a632dd20bb0d57eddcbd649b18207511a9
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,1,A-unanime,,,transfer,,,,0xa9059cbb,,135960,1,,0xf73818cab7bec22c2873568741ee5b205f7bcf739ff4a4e81e3c97b5f44fe6a7
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,1,A-unanime,,,propose,,,propose,0x7d5e81e2,WasteCategoryRegistry.updateCredits,76501,1,,0x7cb76a6143528b5e111306a2ca78ab50803ada86da543ec457343b29f14ccaf5
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,1,A-unanime,,,vote,1,for,,0x56781388,,83098,1,,0x8a201a4c8d999c15deb121934bb272a74aa69f1590232ab96beec98ea4ff7740
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,1,A-unanime,,,execute,,,execute,0x2656227d,WasteCategoryRegistry.updateCredits,72030,1,,0x155588aed52fd6ce4e32da6564437b66163887f28ff3b5ed21a96fa50eee50dc
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,T1,,,,,deploy_token_T1,,,constructor,0x61016060,,1621017,1,,0xece28f063ba256e8fc65152daf61fe745a7823e8ba387b1b661409f18f6dc4cc
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,,,,,deploy_registry,,,constructor,0x60806040,,4590964,1,,0x9005486642112873086c0faf3a06ce7199e3377186a80eb6eea4235f5e1c6f56
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,,,,,deploy_governor_V0,,,constructor,0x6101c080,,2133394,1,,0x8b33a795df9df0e5a3cb812430955580d1fb4f654a6028dd161238e13d560524
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,,,,,grant_admin_role,,,grantRole,0x2f2ff15d,,50799,1,,0xb518a3911be32f0a59dcaec3e43c7ec54010f07f3e473d550516b1aab1a18d6b
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,,,,,revoke_deployer_admin_role,,,revokeRole,0xd547741f,,27116,1,,0x8cb08b8b6ca45600b76a431b4cd18aee2095374e00c890903bfaa28d83b5f82b
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,4,A-unanime,,,delegate_admin,,,,0x5c19a95c,,95559,1,,0xfa43c1f7a1a1658c8aeac58119b26e806face10fc63ae3e18099942309f4d395
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,4,A-unanime,,,delegate,,,,0x5c19a95c,,48347,1,,0xf96ae171d39b1290c248e3ee88c92c43e24751ff4aacf46bad404cad29a33e37
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,4,A-unanime,,,delegate,,,,0x5c19a95c,,48335,1,,0x65ff74d2610d5c80f16dc62aa4e01b339a9ecd8c95911ae092d678a9792cdcb8
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,4,A-unanime,,,delegate,,,,0x5c19a95c,,48347,1,,0xb06e4e18b389cc3c69848b844c44927f26087a909c0e4532a1ba892e8d7bac4c
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,4,A-unanime,,,delegate,,,,0x5c19a95c,,48347,1,,0xfdc5c4ae6e458adbd0780d18d4ef20dca6b7a02f3efff2f7c0eec7590e340a41
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,4,A-unanime,,,transfer,,,,0xa9059cbb,,135960,1,,0x8454fc46ee821c3b2e361f5144a061d86784f9997e338307310e0d19163df808
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,4,A-unanime,,,transfer,,,,0xa9059cbb,,135948,1,,0x8870895cfed9782a0c87d7563be137d4b9eb71a3e6fb289269e4f17cabd52fdb
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,4,A-unanime,,,transfer,,,,0xa9059cbb,,135960,1,,0x46bab4cc12531dfe80a58ebb740a466e6ec4448aaa633c9f8445d39d73991440
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,4,A-unanime,,,transfer,,,,0xa9059cbb,,135960,1,,0x058cb17e428a1f84b783d8df7e02876248e876aeeb0c73b24b5397f401270264
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,4,A-unanime,,,propose,,,propose,0x7d5e81e2,WasteCategoryRegistry.updateCredits,63778,1,,0xe4f51ddc9d023524448def6b75d4623df8e160f72436c85f16ba9ad113ef5630
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,4,A-unanime,,,vote,1,for,,0x56781388,,81887,1,,0x63fca14aa08b862daea358c896020a5abf956ee0cace3bb842acb1fc2dce9762
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,4,A-unanime,,,vote,2,for,,0x56781388,,64787,1,,0xc92a7c848234c774164c28a5516882368b600955faa4536650b67ee8d0cc7c16
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,4,A-unanime,,,vote,3,for,,0x56781388,,64787,1,,0xe3479c5481970f9edf99b454cd69aba706a6c9f4e88189aba82641af7a97ef1b
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,4,A-unanime,,,vote,4,for,,0x56781388,,64787,1,,0x27d0c14f1f8db2362973a6caeab2b1f7850ee72d0b2c02c1865987c39d98565f
2026-09-23T21-53-29-899Z_n-sweep_1-4,V0,,4,A-unanime,,,execute,,,execute,0x2656227d,WasteCategoryRegistry.updateCredits,60795,1,,0x233f59d99e11a48f2baa11be7cc7579028f7cfaeda681f0004ee49865df2d686
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,T1,,,,,deploy_token_T1,,,constructor,0x61016060,,1621017,1,,0xece28f063ba256e8fc65152daf61fe745a7823e8ba387b1b661409f18f6dc4cc
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,,,,,deploy_registry,,,constructor,0x60806040,,4590964,1,,0x9005486642112873086c0faf3a06ce7199e3377186a80eb6eea4235f5e1c6f56
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,,,,,deploy_governor_V1,,,constructor,0x6101c080,,2141155,1,,0xcbf032b87647649d09648621f7d61fb312aee4174486ee6f404819243ac59ca9
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,,,,,grant_admin_role,,,grantRole,0x2f2ff15d,,50799,1,,0xfdc9a3875129e16eb4a0e6527cfb2e5662449c13660398cf3b7c723db6d0e009
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,,,,,revoke_deployer_admin_role,,,revokeRole,0xd547741f,,27116,1,,0xc189311656167d1c4c211ee1c4f5143a8df64ff72cb449ebf7ec77ff2fd0bcbb
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,4,A-unanime,,,delegate_admin,,,,0x5c19a95c,,95559,1,,0xd4695df7ceba86e36d8d32ccf756640823a0c1b729cf20e3a0b632c08e38ee6a
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,4,A-unanime,,,delegate,,,,0x5c19a95c,,48347,1,,0x81d5bf8e96fad9ce8b5230dc73abbeb313b25fcb2932728690f357e6b4e905b9
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,4,A-unanime,,,delegate,,,,0x5c19a95c,,48335,1,,0x92147b8c796bc2b0f21acc979799bbf4c5b5033d9d67806a8ad6842fe03d41df
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,4,A-unanime,,,delegate,,,,0x5c19a95c,,48347,1,,0xfff43b85310b182c6fdaa6a0b82056393aba2572b23e543b42f064dc4690e2fc
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,4,A-unanime,,,delegate,,,,0x5c19a95c,,48347,1,,0xd65054394087a126f7201b8caf565d34e4b8e2c37299a2eb2e8e1e169e8753b2
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,4,A-unanime,,,transfer,,,,0xa9059cbb,,135960,1,,0x8f71c833d28c879e3a9877445de3ff7f5ccc748e785a983cf06fd9ef4931b6e7
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,4,A-unanime,,,transfer,,,,0xa9059cbb,,135948,1,,0xb306ff70e787167818f1b8d2e3646dbb1802f502a789294577101fb126d34356
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,4,A-unanime,,,transfer,,,,0xa9059cbb,,135960,1,,0x66f2d10db29510ce6557eb69a744bdcfedcf375f00cc2361ed669313673aba99
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,4,A-unanime,,,transfer,,,,0xa9059cbb,,135960,1,,0x2c645216339ebcd8c7add24fbac61782325f2f09ad45787acf8c4f7fa2f7b533
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,4,A-unanime,,,propose,,,propose,0x7d5e81e2,WasteCategoryRegistry.updateCredits,63778,1,,0xb9dea0c1a0fbd92ab7c84a8cc567c04b8d2453ee29f7d5903048c5fdca0d2412
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,4,A-unanime,,,vote,1,for,,0x56781388,,82468,1,,0x6673569cd1106d7cb097d95a73a0043d007eea186ecea330bb7701df83f1a99f
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,4,A-unanime,,,vote,2,for,,0x56781388,,65368,1,,0x7a490e58139068107ef214cdb5b5e62718a866f587b0538474690f28a20d7692
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,4,A-unanime,,,vote,3,for,,0x56781388,,65368,1,,0x16e3e8e7b0686b1af6aec901c17eeaa33fd0b6c4af3795079ef8749a8547df6f
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,4,A-unanime,,,vote,4,for,,0x56781388,,65368,1,,0x00f966d992dc7160ecf0b05b66db5ef7a6a508a8682d948a0a5ab6079e749e9b
2026-09-23T21-53-29-899Z_n-sweep_1-4,V1,,4,A-unanime,,,execute,,,execute,0x2656227d,WasteCategoryRegistry.updateCredits,60807,1,,0xe7ce6a0f7f922f1b57650a2ca6d1d3962050c7744436a25869619bbc6c490e02
