execucao,variante,token,N,condicao,posicao,k,etapa,ordem,direcao,funcao,seletor,operacao_governada,gas,status,motivo_reversao,tx_hash
2026-09-23T22-11-32-302Z_sepolia-calibration-v2-strategyA,Ref,,,6-calibration-strategyA,,,propose,,,proposeAddCategory,0x00619797,WasteCategoryRegistry.addCategory,666054,1,,0x6e2bc133b3ec5da5184ea6d385343eab85266cf10e1785a87910035f63579460
2026-09-23T22-11-32-302Z_sepolia-calibration-v2-strategyA,Ref,,,6-calibration-strategyA,,,vote_for_1,,,castVote,0x56781388,WasteCategoryRegistry.addCategory,83384,1,,0x918b494d1b34289a67359437c6467c5f2bc8ced2f823191bdac2edf0f6247969
2026-09-23T22-11-32-302Z_sepolia-calibration-v2-strategyA,Ref,,,6-calibration-strategyA,,,vote_for_2,,,castVote,0x56781388,WasteCategoryRegistry.addCategory,66284,1,,0x89497c5195ad91f546659c45cbeb86eb955394a9f728c2a4f185ce099d3c88b8
2026-09-23T22-11-32-302Z_sepolia-calibration-v2-strategyA,Ref,,,6-calibration-strategyA,,,vote_for_3,,,castVote,0x56781388,WasteCategoryRegistry.addCategory,66284,1,,0x39d327dfc20bb9b94b1bbd3c2c9a3bb78e16c44b3f7ca5e2817e0e7ddd777dd4
2026-09-23T22-11-32-302Z_sepolia-calibration-v2-strategyA,Ref,,,6-calibration-strategyA,,,vote_against,,,castVote,0x56781388,WasteCategoryRegistry.addCategory,83343,1,,0x58ae2a70158c1bdb481d27daff975443b17d8bfea9077994bfc1bb71f9f8a85d
2026-09-23T22-11-32-302Z_sepolia-calibration-v2-strategyA,Ref,,,6-calibration-strategyA,,,repeated_vote,,,castVote,0x56781388,WasteCategoryRegistry.addCategory,38224,0,VM Exception while processing transaction: reverted with custom error 'GovernorAlreadyCastVote('0x77ba4167dAc374F39Aa393A13fE4140B96A9b906')',0x624b66432c1fd8e2dbfd10d8b59e269ac4cfaa700b60c469bbb0108ff79fab5a
2026-09-23T22-11-32-302Z_sepolia-calibration-v2-strategyA,Ref,,,6-calibration-strategyA,,,execute,,,execute,0x2656227d,WasteCategoryRegistry.addCategory,398089,1,,0xd83a80dcfda5a0b2ca47800d68f9b33ff1e7bee630883be4d15c0c1696606117
