execucao,variante,token,N,condicao,posicao,k,etapa,ordem,direcao,gas,status,motivo_reversao
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,setup,,,delegate,,,48335,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B1,,,propose,,,77378,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B1,,,transfer_post_snapshot,,,135972,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B1,,,delegate_post_snapshot,,,28424,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B1,,,vote,1,for,62898,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B2,,,transfer,,,135948,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B2,,,propose,,,77378,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B2,,,vote,1,for,83086,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B2,,,execute_attempt,,,49102,0,invalid length for result data
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B3,,,transfer,,,135960,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B3,,,transfer,,,135960,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B3,,,transfer,,,135960,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B3,,,transfer,,,135972,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B3,,,propose,,,77390,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B3,,,vote,1,for,83098,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B3,,,vote,2,for,65998,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B3,,,vote,3,for,65998,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B3,,,vote,1,against,83057,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B4,,,transfer,,,131160,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B4,,,propose,,,77378,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B4,,,vote,1,for,83086,1,
2026-09-23T18-15-10-058Z_b1-b4,Ref,,,B4,,,vote_repeat,2,for,37926,0,invalid length for result data
